Year,Misouri,Illinois,Iowa,Wisconsin,Michigan,Minnesota
2005,659141,534698,391864,834866,671274,694426
2010,665259,580378,394298,819350,656541,753274
2015,601846,536337,339366,849778,607113,678578
2020,1323937,508236,349663,820299,615948,758840
