STATE_NAME,y2005,y2010,y2015,y2020
Missouri,659141,665259,601846,1323937
Illinois,534698,580378,536337,508236
Iowa,391864,394298,339366,349663
Wisconsin,834866,819350,849778,820299
Michigan,671274,656541,607113,615948
Minnesota ,694426,753274,678578,758840
